t,n,library,time
250,1000,numpy,0.018899202346801758
250,1000,numba,0.4925370216369629
250,1000,mlx,0.1465151309967041
500,1000,numpy,0.018262624740600586
500,1000,numba,0.013763189315795898
500,1000,mlx,0.19015979766845703
250,10000,numpy,0.10241985321044922
250,10000,numba,0.0711510181427002
250,10000,mlx,0.14819788932800293
500,10000,numpy,0.2008678913116455
500,10000,numba,0.15117311477661133
500,10000,mlx,0.3725466728210449
250,100000,numpy,1.3631482124328613
250,100000,numba,1.1721742153167725
250,100000,mlx,1.091087818145752
500,100000,numpy,2.5460760593414307
500,100000,numba,2.073884963989258
500,100000,mlx,2.9045169353485107
250,1000000,numpy,24.104024171829224
250,1000000,numba,20.677041053771973
250,1000000,mlx,10.46111011505127
500,1000000,numpy,51.070125102996826
500,1000000,numba,36.957313776016235
500,1000000,mlx,29.227585077285767
